time,tavg,tmin,tmax,prcp
01-01-2022,21.4,18.5,24.6,3.3
02-01-2022,22,17.5,26.4,0
03-01-2022,20.6,15.1,26.6,0
04-01-2022,20.5,16.4,26.3,0
05-01-2022,20.5,14.8,27.4,0
06-01-2022,21.1,15.9,27,0
07-01-2022,21.4,16.6,27,0
08-01-2022,21.6,17.2,27.2,0
09-01-2022,21.7,17.3,27.2,0
10-01-2022,21.5,16.7,27.3,0.1
11-01-2022,21.8,16.7,28.6,0.1
12-01-2022,22.4,18.3,28.6,0.4
13-01-2022,22.1,17.5,27.4,0.5
14-01-2022,21.8,17.8,27.4,0.2
15-01-2022,22,16.2,28.6,0
16-01-2022,21.9,17.4,27.6,0.2
17-01-2022,21.3,16.8,27,0
18-01-2022,21.1,15.3,27.1,0
19-01-2022,21,16,27,0
20-01-2022,21,13,29,0
21-01-2022,22.1,14.5,31.4,0
22-01-2022,22.1,14.6,30,0
23-01-2022,21.9,14.9,30.4,0
24-01-2022,21.2,13.4,28.8,0
25-01-2022,20.8,13.1,27.4,0
26-01-2022,22.2,17.3,28,0.1
27-01-2022,21.5,17.9,25.4,1.8
28-01-2022,21.1,17,26.3,0
29-01-2022,21.2,15.3,27.2,0
30-01-2022,23,18.1,29.4,0
31-01-2022,23.4,18.3,29.6,0
01-02-2022,23.2,17.4,29.8,0
02-02-2022,23,16.3,29.6,0
03-02-2022,22.7,16.3,28.7,0
04-02-2022,22.9,16.5,30.6,0
05-02-2022,22.8,15.9,30.8,0
06-02-2022,22.7,18.2,28,0
07-02-2022,22.6,17.3,28.3,0
08-02-2022,22.3,15.7,29.4,0
09-02-2022,21.9,15.3,28.8,0
10-02-2022,21.9,14.4,30,0
11-02-2022,22.2,16.1,29.4,0
12-02-2022,22.3,16,29,0
13-02-2022,22.2,15.8,28.2,0
14-02-2022,22.2,15.2,28.2,0
15-02-2022,22.7,17.1,28.4,0
16-02-2022,22.6,15.3,28.8,0
17-02-2022,23,16.1,30,0
18-02-2022,22.5,14.9,29.4,0
19-02-2022,22.7,15.8,29.8,0
20-02-2022,23.5,15.8,32,0
21-02-2022,24.3,16.3,32.4,0
22-02-2022,24.7,17.9,31.3,0
23-02-2022,23.2,16.4,30.4,0
24-02-2022,22.5,15.5,29.4,0
25-02-2022,22.9,14.4,31.2,0
26-02-2022,22.5,14.9,30.2,0
27-02-2022,23.3,16.8,30,0
28-02-2022,23.3,16.1,30.6,0
01-03-2022,24,16.6,32,0
02-03-2022,23.7,16.9,30.4,0
03-03-2022,23.5,16.5,30.8,0
04-03-2022,24,17.4,31.6,0
05-03-2022,24,16.2,30.6,0
06-03-2022,23.8,17.2,30.3,0
07-03-2022,21.9,16.3,27.9,2.4
08-03-2022,24.9,18,30.6,0
09-03-2022,24.9,16.7,32.8,0
10-03-2022,25.4,17.1,32.8,0
11-03-2022,25.2,17.2,32.8,0
12-03-2022,25.5,18.1,33,0
13-03-2022,25.6,18.5,32.8,0
14-03-2022,26,18.4,32.8,0
15-03-2022,25.7,17.5,33.4,0
16-03-2022,25.7,17.6,34.2,0
17-03-2022,26.6,19.1,34.2,0
18-03-2022,26.6,18.7,34,0
19-03-2022,26.2,18.9,33.4,0.1
20-03-2022,24.9,22,34.1,0
21-03-2022,24.7,21.3,33.2,6.1
22-03-2022,25.6,21.8,33.5,7.9
23-03-2022,27,21.4,32.8,2
24-03-2022,27.1,23.4,33.6,0
25-03-2022,26.4,19.4,32.3,0.2
26-03-2022,26.7,19.9,32.9,0
27-03-2022,27.1,20.4,33.8,0
28-03-2022,27.3,20.1,33.8,0
29-03-2022,27.5,20.4,34.2,0.1
30-03-2022,27.6,21.8,33.8,0.1
31-03-2022,27.5,20.9,34,0
01-04-2022,27.2,21.2,33,0
02-04-2022,26.8,20,33,0
03-04-2022,26.6,18.6,33.6,0
04-04-2022,26.5,19,33.8,0
05-04-2022,26.3,19,33.2,0
06-04-2022,26.7,18.4,35,0
07-04-2022,27.1,19.1,34.8,0
08-04-2022,26.7,19.3,33.2,0
09-04-2022,27.1,19.9,33.6,0
10-04-2022,27,20.3,34,0
11-04-2022,27.2,20.1,34.2,0
12-04-2022,26.7,20.5,34,0
13-04-2022,25,21.5,32.8,3.5
14-04-2022,24.8,20.7,32.1,13.6
15-04-2022,25.4,19.1,33,37.6
16-04-2022,26.3,19.7,34.1,0
17-04-2022,25.6,20,34.1,51.1
18-04-2022,23.8,19.1,32.1,1
19-04-2022,26,20,32.4,32.8
20-04-2022,27.9,21.8,34.1,0
21-04-2022,27.3,20.8,33.4,0
22-04-2022,26.7,20.3,33.2,0
23-04-2022,26.3,20.5,32.2,0
24-04-2022,27,20.4,33.7,0
25-04-2022,27.8,20.8,34.1,0
26-04-2022,27.9,20.6,34.5,0
27-04-2022,28.5,21.5,35.1,0
28-04-2022,28.2,21.7,34.8,0
29-04-2022,29.1,21.2,36.9,0
30-04-2022,28.1,22.7,36.7,0
01-05-2022,24.9,20.4,34.8,0
02-05-2022,26.3,20.2,33.9,54.1
03-05-2022,26.3,21.8,34,0
04-05-2022,25.5,20.9,34.2,8.9
05-05-2022,23.9,20.4,34.2,4.3
06-05-2022,25.2,21.3,31.8,0.3
07-05-2022,26,21.2,33.5,5.1
